Month,feminismW,feminismUS,sexual_assaultW,sexual_assaultUS,womens_rightsW,womens_rightsUS,international_womens_dayW,international_womens_dayUS,intersectionalityW,intersectionalityUS
2014-04-01,49,64,42,32,18,30,1,1,30,25
2014-05-01,51,62,42,33,18,30,1,<1,26,23
2014-06-01,40,45,40,28,9,12,1,<1,17,11
2014-07-01,46,52,35,26,7,9,1,<1,16,13
2014-08-01,44,48,36,25,7,8,1,1,16,10
2014-09-01,63,77,42,36,12,20,<1,1,29,25
2014-10-01,70,92,44,37,17,28,1,1,36,36
2014-11-01,75,88,48,37,19,31,1,1,35,32
2014-12-01,55,71,38,29,12,23,1,1,29,28
2015-01-01,55,65,35,26,13,19,2,1,26,19
2015-02-01,59,76,38,28,16,27,5,2,39,38
2015-03-01,68,80,41,32,21,33,38,21,39,34
2015-04-01,66,91,45,39,19,35,1,1,40,41
2015-05-01,65,84,37,28,18,33,1,1,34,28
2015-06-01,50,58,32,24,10,15,1,<1,27,19
2015-07-01,44,52,33,25,6,10,1,<1,30,23
2015-08-01,44,52,36,29,9,12,1,<1,31,23
2015-09-01,54,68,38,32,13,23,1,<1,43,38
2015-10-01,60,77,39,32,17,31,1,1,55,51
2015-11-01,62,77,41,31,17,31,1,1,49,41
2015-12-01,56,72,34,27,14,28,1,1,42,38
2016-01-01,55,64,55,33,15,24,2,1,40,26
2016-02-01,63,80,52,42,21,33,8,4,56,48
2016-03-01,69,81,47,37,23,37,49,35,53,45
2016-04-01,68,86,52,44,23,41,1,1,56,43
2016-05-01,61,75,45,33,21,37,1,1,48,34
2016-06-01,49,57,48,39,12,14,1,1,39,27
2016-07-01,40,45,39,28,9,11,1,<1,36,28
2016-08-01,43,46,49,32,9,11,1,1,35,24
2016-09-01,54,62,52,40,14,22,1,1,56,44
2016-10-01,58,70,81,74,19,32,2,1,59,54
2016-11-01,66,76,61,48,27,49,1,1,61,51
2016-12-01,54,61,49,33,16,28,1,1,51,45
2017-01-01,70,97,47,35,52,100,4,2,92,68
2017-02-01,64,80,50,38,26,44,11,6,84,78
2017-03-01,90,100,49,36,30,47,76,73,91,84
2017-04-01,68,82,54,45,23,40,2,1,75,70
2017-05-01,61,74,50,37,22,39,2,1,67,52
2017-06-01,48,49,47,30,10,13,1,1,54,39
2017-07-01,40,42,44,29,7,10,1,1,48,38
2017-08-01,38,37,48,33,8,9,1,1,52,36
2017-09-01,47,50,41,32,13,19,1,1,63,58
2017-10-01,56,61,74,61,18,30,2,2,77,71
2017-11-01,59,62,100,94,19,35,2,1,70,62
2017-12-01,53,58,75,68,15,26,2,1,63,53
2018-01-01,56,59,71,60,19,33,5,4,76,59
2018-02-01,60,63,59,48,20,32,15,9,80,68
2018-03-01,66,67,56,41,24,35,100,100,100,100
2018-04-01,57,64,60,51,20,35,3,2,78,73
2018-05-01,57,58,58,44,20,34,3,2,67,57
2018-06-01,42,37,50,39,11,13,2,2,53,38
2018-07-01,36,32,47,36,7,8,1,1,45,34
2018-08-01,37,33,48,38,8,9,2,2,46,35
2018-09-01,45,43,94,100,13,22,2,1,65,62
2018-10-01,53,57,82,79,17,31,2,2,80,76
2018-11-01,51,53,56,43,18,33,3,2,80,72
2018-12-01,46,46,48,39,14,24,2,2,77,69
2019-01-01,46,45,54,46,16,25,6,4,69,59
2019-02-01,48,49,58,46,18,30,17,10,96,96
2019-03-01,57,52,53,43,21,33,86,79,100,84
2019-04-01,49,53,56,48,18,34,3,2,85,79
2019-05-01,45,48,46,38,23,44,2,2,70,62
2019-06-01,35,28,43,34,10,15,2,2,64,44
2019-07-01,32,24,45,34,7,10,1,1,52,40
